Frame number,Movie number,Local frame number,Time since start (s),Hardware counter (us),tail_tip x,tail_tip y,tail_tip likelihood,tail_base x,tail_base y,tail_base likelihood,R_hind x,R_hind y,R_hind likelihood,L_hind x,L_hind y,L_hind likelihood,neck x,neck y,neck likelihood,R_fore x,R_fore y,R_fore likelihood,L_fore x,L_fore y,L_fore likelihood,nose x,nose y,nose likelihood
0,0,0,0,2.47904E+11,564.8240966796875,317.3860778808594,0.9447007775306702,509.9263000488281,351.1965332,0.9994614124298096,528.3774414,390.61273193359375,0.9971207976341248,476.92999267578125,352.4303283691406,0.977459729,491.11468505859375,454.84625244140625,0.9713097810745239,492.2207031,422.94659423828125,0.9939277768135071,467.0288086,440.4466247558594,0.9846889972686768,488.8327637,484.03619384765625,0.9942392706871033
1,0,1,0.052012,2.47904E+11,565.0961914,323.2819824,0.34924545884132385,509.9263000488281,356.41339111328125,0.9949443936347961,528.3774414,391.04302978515625,0.9976459741592407,476.92999267578125,358.0550842285156,0.8112503886222839,492.7936706542969,461.8389892578125,0.8834290504455566,492.35577392578125,423.30364990234375,0.9897199869155884,469.6249694824219,445.0766296386719,0.989734411,490.6102600097656,492.1567687988281,0.9948519468307495
2,0,2,0.100012,2.47904E+11,566.8184814453125,525.7069091796875,0.6965065002441406,509.9263000488281,358.21875,0.9983623623847961,528.3774414,391.3701477050781,0.9962753653526306,476.92999267578125,362.00274658203125,0.9659325480461121,492.7936706542969,467.57122802734375,0.98145169,492.7096862792969,430.7136535644531,0.9121096134185791,470.1773986816406,445.0766296386719,0.7179741859436035,490.6102600097656,494.5678405761719,0.9978989958763123
3,0,3,0.15201,2.47904E+11,566.8184814453125,525.7069091796875,0.8461886644363403,498.8354492,362.7205505371094,0.9997307658195496,527.5282592773438,391.3701477050781,0.9964771270751953,459.6620178222656,398.22320556640625,0.9799673557281494,492.7936706542969,467.57122802734375,0.9810561537742615,496.5051574707031,451.73236083984375,0.9870792627334595,470.1773986816406,444.61700439453125,0.9764858484268188,490.6102600097656,494.5678405761719,0.9971500039100647
4,0,4,0.200012,2.47904E+11,566.8184814453125,525.7069091796875,0.9621436595916748,498.6442565917969,362.7205505371094,0.9995316863059998,527.5282592773438,391.4361267089844,0.9963982105255127,459.53948974609375,400.02703857421875,0.9914501905441284,487.4304199,467.57122802734375,0.9598495960235596,496.5051574707031,451.73236083984375,0.9904251098632812,470.1773986816406,444.1321105957031,0.9979997873306274,479.2045898,496.55084228515625,0.9930460453033447
5,0,5,0.251999,2.47904E+11,566.8184814453125,319.44281005859375,0.9347124099731445,496.94110107421875,363.2054443359375,0.9992555975914001,527.0688477,393.0889892578125,0.9954359531402588,458.9010009765625,401.1691895,0.9924813508987427,484.13214111328125,467.57122802734375,0.9016835689544678,496.5051574707031,451.73236083984375,0.9927788972854614,470.0047302246094,444.5923767089844,0.9989147782325745,477.5539551,496.55084228515625,0.9901561141014099
6,0,6,0.300013,2.47904E+11,572.8358154296875,319.44281005859375,0.8528171181678772,496.58551025390625,363.29644775390625,0.9989070296287537,527.0688477,394.98992919921875,0.9931895732879639,458.9010009765625,401.4436035,0.99629277,483.2225341796875,466.45281982421875,0.973104715,495.6405944824219,450.09808349609375,0.9949959516525269,469.4914245605469,444.1321105957031,0.9986725449562073,476.43536376953125,494.5678405761719,0.9911974668502808
7,0,7,0.352026,2.47904E+11,572.8358154296875,314.7104187011719,0.9697188138961792,494.99530029296875,364.2278747558594,0.9989831447601318,526.9802246,394.98992919921875,0.9730902910232544,456.84857177734375,402.79364013671875,0.9970832467079163,480.7888184,466.4265441894531,0.9755966067314148,494.3414001464844,449.1842346191406,0.9896307587623596,469.41925048828125,444.1321105957031,0.9988881349563599,476.1427001953125,495.5084228515625,0.9960945248603821
8,0,8,0.404023,2.47904E+11,572.3399047851562,312.640625,0.22329625487327576,493.5600586,364.7545166015625,0.9987862706184387,526.9080200195312,395.8555603027344,0.9689820408821106,455.4533996582031,403.2648926,0.9978103637695312,480.7888184,466.45281982421875,0.9799163937568665,494.3414001464844,448.97259521484375,0.986058235,468.10223388671875,444.5923767089844,0.9985960721969604,476.1427001953125,496.55084228515625,0.9749528169631958
9,0,9,0.452017,2.47904E+11,571.8106079101562,311.54486083984375,0.9142006635665894,493.20623779296875,364.9937744140625,0.9990198016166687,525.6550903320312,395.8555603027344,0.9887073040008545,454.9927978515625,403.52508544921875,0.99840194,480.5686950683594,467.5758361816406,0.983066201,494.2131348,448.8926086425781,0.9921175241470337,467.5777893066406,445.34344482421875,0.9989272356033325,476.1427001953125,497.57659912109375,0.9956563115119934
