Frame number,Movie number,Local frame number,Time since start (s),Ear_left x,Ear_left y,Ear_left likelihood,Ear_right x,Ear_right y,Ear_right likelihood,Nose x,Nose y,Nose likelihood,Center x,Center y,Center likelihood,Lateral_left x,Lateral_left y,Lateral_left likelihood,Lateral_right x,Lateral_right y,Lateral_right likelihood,Tail_base x,Tail_base y,Tail_base likelihood,Tail_end x,Tail_end y,Tail_end likelihood
0,0,0,0.0,69.070556640625,105.12007904052734,0.9794262051582336,100.28175354003906,90.10685729980469,0.9756871461868286,76.6867446899414,84.09123229980469,0.5920146107673645,110.12443542480469,137.28060913085938,0.9995850920677185,94.92008209228516,157.57215881347656,0.9747036695480347,135.33018493652344,130.22024536132812,0.906561553478241,138.9611358642578,174.529296875,0.9997904896736145,233.08462524414062,258.7068176269531,0.9999691247940063
1,0,1,0.033333,69.070556640625,105.12007904052734,0.9928081035614014,100.28175354003906,90.10685729980469,0.8957706093788147,77.849609375,84.09123229980469,0.27202969789505005,110.12443542480469,137.28060913085938,0.9994158744812012,96.87434387207031,157.57215881347656,0.9828938841819763,135.33018493652344,130.22024536132812,0.9820598363876343,142.29904174804688,174.529296875,0.9997784495353699,239.51239013671875,258.7068176269531,0.8924599885940552
2,0,2,0.066666,69.070556640625,105.12007904052734,0.9767016172409058,100.28175354003906,90.10685729980469,0.864901602268219,77.849609375,84.09123229980469,0.22772963345050812,110.58037567138672,137.28060913085938,0.9973887801170349,97.58289337158203,157.57215881347656,0.9819095134735107,135.33018493652344,130.22024536132812,0.9731531143188477,145.25137329101562,174.529296875,0.9977915287017822,244.24468994140625,258.7068176269531,0.999951958656311
3,0,3,0.099999,68.5738754272461,101.73263549804688,0.9949073195457458,100.28175354003906,85.08576965332031,0.9846718907356262,76.6867446899414,78.39810180664062,0.02925526164472103,110.60191345214844,133.49037170410156,0.9986976385116577,99.72591400146484,156.19158935546875,0.9913837909698486,135.2684326171875,127.21292877197266,0.9283455014228821,150.0394744873047,172.23513793945312,0.998434841632843,247.52525329589844,248.7254180908203,0.9994889497756958
4,0,4,0.133332,67.65008544921875,98.79059600830078,0.9971554279327393,100.28175354003906,83.1801986694336,0.9866694211959839,74.77799987792969,77.01840209960938,0.9895574450492859,110.73432159423828,130.41046142578125,0.9957569241523743,102.38105010986328,154.7855987548828,0.9860152006149292,135.2684326171875,122.2150650024414,0.8881716728210449,152.5712432861328,169.43759155273438,0.9900543689727783,250.9414825439453,241.72283935546875,0.9999171495437622
5,0,5,0.166665,67.64073181152344,96.31035614013672,0.9880228042602539,100.10137939453125,81.46373748779297,0.9315151572227478,74.77799987792969,75.04053497314453,0.997788667678833,110.97985076904297,127.2159194946289,0.9955841898918152,104.16445922851562,151.73977661132812,0.9867974519729614,135.2684326171875,117.99290466308594,0.9939656853675842,153.6017303466797,163.09329223632812,0.9987040758132935,251.86672973632812,239.4103240966797,0.9998646974563599
6,0,6,0.199998,67.64073181152344,94.4085464477539,0.9956029653549194,101.1989517211914,80.79129028320312,0.8244810104370117,74.77799987792969,74.0538101196289,0.9972220659255981,112.50825500488281,123.70710754394531,0.9921272993087769,106.12368774414062,147.63356018066406,0.9971795082092285,135.63038635253906,113.7862548828125,0.9870317578315735,155.32823181152344,158.167236328125,0.9986239671707153,254.1225128173828,233.03457641601562,0.9997833371162415
7,0,7,0.233331,67.65008544921875,92.26870727539062,0.9976308345794678,101.25475311279297,76.98272705078125,0.9422605037689209,75.47242736816406,74.00003814697266,0.3640337884426117,112.79448699951172,121.76288604736328,0.9910339713096619,107.0511245727539,144.71946716308594,0.9943544864654541,135.70867919921875,109.98907470703125,0.9881864190101624,156.70309448242188,154.19064331054688,0.9990645051002502,255.6183624267578,227.8291015625,0.9999479055404663
8,0,8,0.266664,70.708984375,90.96004486083984,0.9338217973709106,102.36080932617188,75.83325958251953,0.8713861703872681,80.70590209960938,70.47134399414062,0.08945881575345993,115.74768829345703,118.07091522216797,0.9986293315887451,109.20976257324219,141.5984649658203,0.9913976192474365,136.99974060058594,105.77063751220703,0.9582225680351257,157.26272583007812,149.15162658691406,0.9985072016716003,257.9079895019531,220.30862426757812,0.9999904632568359
9,0,9,0.299997,71.41188049316406,88.21729278564453,0.9562640190124512,103.90249633789062,75.7691421508789,0.8401809930801392,82.42549133300781,68.64300537109375,0.7585212588310242,116.87045288085938,116.75997924804688,0.9994695782661438,112.64682006835938,139.62576293945312,0.997093677520752,137.1083526611328,103.8090591430664,0.9431531429290771,158.04354858398438,145.264404296875,0.9934927821159363,261.4752197265625,211.51898193359375,0.9999972581863403
10,0,10,0.33333,72.86097717285156,86.69000244140625,0.976836085319519,107.62983703613281,75.68697357177734,0.8764040470123291,84.26139068603516,66.9522476196289,0.9938101172447205,117.60256958007812,113.88059997558594,0.9991395473480225,114.38994598388672,137.56015014648438,0.9980518817901611,138.18252563476562,100.72305297851562,0.9883418679237366,160.29226684570312,141.4463348388672,0.998178243637085,264.6299133300781,207.9638671875,0.9980736970901489
11,0,11,0.366663,75.53289794921875,83.95063781738281,0.9913012385368347,108.47711181640625,72.95360565185547,0.8460783362388611,86.16741180419922,66.90380096435547,0.5210016369819641,118.92878723144531,112.61534881591797,0.9964635968208313,116.09569549560547,136.2638702392578,0.9965094923973083,139.1320343017578,98.144287109375,0.9889842867851257,161.61203002929688,137.47544860839844,0.9992710947990417,267.8349914550781,203.92218017578125,0.9999430179595947
12,0,12,0.399996,80.75391387939453,80.96797180175781,0.8156945109367371,108.655517578125,72.32208251953125,0.5497632026672363,91.0765609741211,66.60868072509766,0.43494632840156555,120.87859344482422,109.46504211425781,0.9982705116271973,118.7077865600586,135.65609741210938,0.9966281056404114,141.47959899902344,96.84363555908203,0.9541760087013245,164.1920623779297,134.74197387695312,0.9996474981307983,273.7503662109375,198.78932189941406,0.9999186992645264
13,0,13,0.433329,83.80465698242188,78.11473846435547,0.9532618522644043,111.43427276611328,69.50794219970703,0.7374991178512573,93.42002868652344,66.60868072509766,0.1829705387353897,123.1290054321289,107.546142578125,0.9992011189460754,122.65857696533203,135.65609741210938,0.9971379041671753,144.0679931640625,96.56172943115234,0.8411657810211182,166.77149963378906,134.1516571044922,0.9993316531181335,274.87847900390625,198.78932189941406,0.9999794960021973
14,0,14,0.466662,85.55280303955078,77.57884979248047,0.9863779544830322,114.57546997070312,68.76973724365234,0.9664170145988464,95.97859954833984,61.0318489074707,0.8881481289863586,126.8436050415039,107.50188446044922,0.9984176158905029,125.58816528320312,135.34088134765625,0.9967321157455444,148.08802795410156,96.42472839355469,0.9505032896995544,169.86782836914062,132.3371124267578,0.9992881417274475,278.0588684082031,198.45498657226562,0.9954947233200073
15,0,15,0.499995,87.78199005126953,77.57884979248047,0.9756510853767395,115.68470764160156,65.82356262207031,0.9758288264274597,97.76082611083984,60.43559265136719,0.7318075299263,129.8158416748047,106.71047973632812,0.9968811273574829,129.32723999023438,134.9764862060547,0.9848257899284363,151.45596313476562,95.48092651367188,0.9648979902267456,172.03924560546875,132.0360107421875,0.9983186721801758,281.0456237792969,198.29827880859375,0.9785215854644775
16,0,16,0.533328,89.93281555175781,78.11473846435547,0.9404117465019226,118.41207122802734,64.96495056152344,0.866824746131897,97.76082611083984,59.597557067871094,0.5936408042907715,131.50157165527344,105.5836181640625,0.9971869587898254,131.60369873046875,134.4039306640625,0.995710015296936,153.10604858398438,93.72090148925781,0.9783403277397156,176.31373596191406,131.9440460205078,0.9996856451034546,283.0054016113281,198.13961791992188,0.9999305009841919
17,0,17,0.5666610000000001,90.3759536743164,78.42719268798828,0.9345217943191528,118.79076385498047,64.44580841064453,0.7589700818061829,97.76082611083984,59.597557067871094,0.8912739753723145,134.152587890625,102.34923553466797,0.9986535310745239,133.33615112304688,131.68096923828125,0.9972388744354248,153.6881561279297,90.36167907714844,0.9752538800239563,178.81430053710938,130.75355529785156,0.9999047517776489,284.04278564453125,198.13961791992188,0.9999570846557617
18,0,18,0.599994,90.37865447998047,80.68666076660156,0.93675297498703,119.37446594238281,61.631858825683594,0.4623733162879944,96.09949493408203,59.597557067871094,0.9224017262458801,135.27015686035156,100.36498260498047,0.9986053109169006,135.00283813476562,130.3969268798828,0.9927202463150024,156.98355102539062,90.10869598388672,0.9771108627319336,178.95632934570312,128.62844848632812,0.9997273087501526,284.96539306640625,197.8716583251953,0.9999668598175049
19,0,19,0.633327,90.9685287475586,81.01509094238281,0.9576275944709778,119.57257843017578,61.631858825683594,0.2517041563987732,96.09949493408203,60.25477981567383,0.9548899531364441,136.46279907226562,99.49390411376953,0.9963733553886414,135.76902770996094,128.8451385498047,0.9682785868644714,158.37078857421875,87.3643798828125,0.9443283081054688,179.62030029296875,127.35671997070312,0.9990377426147461,286.1877136230469,196.5752410888672,0.9997979998588562
